"elections";"candidate";"list_name";"list_pos";"pref_votes";"elected";"nom_party";"pol_affil";"mayor";"dep_mayor";"board";"gov_support";"elig_voters";"ballots_cast"
"2016.04";"Gubranová Kateřina";"SNK do zastup. obce Dasnice";1;85;1;"NK";"BEZPP";0;0;0;1;238;103
"2016.04";"Turnerová Gabriela";"SNK do zastup. obce Dasnice";2;92;1;"NK";"BEZPP";1;0;0;1;NA;NA
"2016.04";"Popovič Antonín";"SNK do zastup. obce Dasnice";3;88;1;"NK";"BEZPP";0;1;0;1;NA;NA
"2016.04";"Prokopová Petra";"SNK do zastup. obce Dasnice";4;82;1;"NK";"BEZPP";0;0;0;1;NA;NA
"2016.04";"Blažková Blažena";"SNK do zastup. obce Dasnice";5;85;1;"NK";"BEZPP";0;0;0;1;NA;NA
"2016.04";"Šaradin Petr";"SNK do zastup. obce Dasnice";6;18;0;"NK";"BEZPP";0;0;0;0;NA;NA
"2018";"Turnerová Gabriela";"Spokojené Dasnice";1;82;1;"NK";"BEZPP";1;0;0;1;231;91
"2018";"Popovič Antonín";"Spokojené Dasnice";2;68;1;"NK";"BEZPP";0;1;0;1;NA;NA
"2018";"Fídlerová Taťána";"Spokojené Dasnice";3;52;1;"NK";"BEZPP";0;0;0;1;NA;NA
"2018";"Blažková Blažena";"Spokojené Dasnice";4;66;1;"NK";"BEZPP";0;0;0;1;NA;NA
"2018";"Gubran Michal";"Spokojené Dasnice";5;62;1;"NK";"BEZPP";0;0;0;1;NA;NA
"2018";"Feketeová Eva";"Spokojené Dasnice";6;61;1;"NK";"BEZPP";0;0;0;1;NA;NA
"2018";"Vaněk Oldřich";"Spokojené Dasnice";7;57;1;"NK";"BEZPP";0;0;0;1;NA;NA
"2018";"Prokopová Petra";"Spokojené Dasnice";8;26;0;"NK";"BEZPP";0;0;0;0;NA;NA
"2018";"Krajský Jiří";"Spokojené Dasnice";9;21;0;"NK";"BEZPP";0;0;0;0;NA;NA
"2022";"Turnerová Gabriela";"Spokojené Dasnice";1;50;1;"NK";"BEZPP";1;0;0;1;221;63
"2022";"Popovič Antonín";"Spokojené Dasnice";2;48;1;"NK";"BEZPP";0;1;0;1;NA;NA
"2022";"Feketeová Eva";"Spokojené Dasnice";3;42;1;"NK";"BEZPP";0;0;0;1;NA;NA
"2022";"Vaněk Oldřich";"Spokojené Dasnice";4;50;1;"NK";"BEZPP";0;0;0;1;NA;NA
"2022";"Fídlerová Taťána";"Spokojené Dasnice";5;25;1;"NK";"BEZPP";0;0;0;1;NA;NA
"2022";"Gubran Michal";"Spokojené Dasnice";6;40;1;"NK";"BEZPP";0;0;0;1;NA;NA
"2022";"Bílá Markéta";"Spokojené Dasnice";7;38;1;"NK";"BEZPP";0;0;0;1;NA;NA
"2022";"Fischerová Lenka";"Spokojené Dasnice";8;26;0;"NK";"BEZPP";0;0;0;0;NA;NA
"2022";"Popovič Lukáš";"Spokojené Dasnice";9;14;0;"NK";"BEZPP";0;0;0;0;NA;NA
